Feature,Introduction to GitHub,Communicate using Markdown,GitHub Pages,Review Pull Requests,Resolve Merge Conflicts,Release-based workflow,Connect the dots,Code with GitHub Codespaces,Code with Copilot,Hello GitHub Actions,Test with Actions,Publish to GitHub Packages,Deploy to Azure,Write JavaScript Actions,Reusable workflows,Secure your repository supply chain,Introduction to CodeQL,Remove commit history,Introduction to secret scanning
push protection,,,,,,,,,,,,,,,,,,,x

H: Working in,,,,,,,,,,,,,,,,,,,
Web,x,,,,x,x,,x,,,,,x,,x,,x,,x
VS Code,,,,,,,,x,x,,,,,x,,,,x,
Jupyter?,,,,,,,,,,,,,,,,,,,

H: Storyline / Journey,,,,,,,,,,,,,,,,,,,
Make a game,,,,x,,,,,,,,,,,,,,,
Build your profile,,,,,,,,,,,,,,,,,,,
Contribute to Open Source,,,,,,,,,,,,,,,,,,,

H: Programming Language,,,,,,,,,,,,,,,,,,,
Javascript,,,,,,,,,x,,,,x,x,,,,,
Python,,,,,,,,,,,,,,,,,,,
docker,,,,,,,,,,,,x,x,,,,,,

H: Difficulty Level,,,,,,,,,,,,,,,,,,,
Beginner,x,x,x,x,x,,,,,,,,,,,x,,,x
Intermediate,,,,,,x,x,x,x,x,x,x,,,,,x,x,
Advanced,,,,,,,,,,,,,x,x,x,,,,

H: Audience,,,,,,,,,,,,,,,,,,,
New Developer,x,x,x,x,x,,,,,,,,,,,x,,,
Student,,x,x,x,x,,x,,,x,,,,,,,,,
Experienced Developer,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,
Project Manager,,,x,x,x,x,x,x,x,x,x,x,x,,,x,,,x
Org Admin,,,x,,,,x,,,x,x,,,,,x,,,x
Enterprise Admin,,,,,,,,,,,,,,,,,,,x
Executive,,,,,,,,,,,,,,,,,,,
Non-Developer,,,x,,,,,,,,,,,,,,,,

H: Duration,,,,,,,,,,,,,,,,,,,
< 1hr,x,,,,,x,x,x,x,,,x,,,x,x,x,x,x
1-2hr,,,,,,,,,,x,x,,x,x,,,,,
2hr+,,,,,,,,,,,,,,,,,,,

H: Misc ,,,,,,,,,,,,,,,,,,,
Student Developer Pack?,,,,,,,,,,,,,,,,,,,

H: Certifications,,,,,,,,,,,,,,,,,,,
Fundamentals,,,,,,,,,,,,,,,,,,,
Actions,,,,,,,,,,,,,,,,,,,
Advanced Security,,,,,,,,,,,,,,,,,,,
Admin,,,,,,,,,,,,,,,,,,,
Copilot,,,,,,,,,,,,,,,,,,,
